articleTitle;articleLink
Software Development Dengan Extreme Programming (XP) Pada Aplikasi Deteksi Kemiripan Judul Skripsi Berbasis Android;https://www.researchgate.net/publication/352181542_Software_Development_Dengan_Extreme_Programming_XP_Pada_Aplikasi_Deteksi_Kemiripan_Judul_Skripsi_Berbasis_Android?_sg=n_aHpZka_MWgwdtOEVs6f9qCyRYBQP5WdHRj2do4SXbWlUbD5qUqkfKI4cPGi-uPcTGK7bHP5AMJ9wA
IJMIE Volume 4, Issue 10 ISSN: 2249-0558 _________________________________________________________ A Monthly Double-Blind Peer Reviewed Refereed Open Access International e-Journal -Included in the International Serial Directories Review on Scrum and Extreme Programming for Software Quality Assurance in industries A Monthly Double-Blind Peer Reviewed Refereed Open Access International e-Journal -Included in the International Serial Directories;https://www.researchgate.net/publication/268017019_IJMIE_Volume_4_Issue_10_ISSN_2249-0558_A_Monthly_Double-Blind_Peer_Reviewed_Refereed_Open_Access_International_e-Journal_-Included_in_the_International_Serial_Directories_Review_on_Scrum_and_Extreme_P?_sg=eI2ZBvx-2l1lchrOCkYLrIkd78sYibC4Ld5Fq5OnyQVyHqjWMNe2AjFr886lk9ACa1j9wd3qfJys7nw
SIMPEL (Sistem Informasi Manajemen Pelatihan) Internal BRI Menggunakan Metode Agile dengan Model Extreme Programming dan Algoritma Brute Force;https://www.researchgate.net/publication/370450629_SIMPEL_Sistem_Informasi_Manajemen_Pelatihan_Internal_BRI_Menggunakan_Metode_Agile_dengan_Model_Extreme_Programming_dan_Algoritma_Brute_Force?_sg=IvcFlooGnIUkK0AtdxRKBqHzFyx0BWqPVOj-olJWJbx1lYtCRpDSrg6Gdlihc9L_kmkuqGZ4mc1tmkQ
Extreme Programming in development of specific software;https://www.researchgate.net/publication/220307727_Extreme_Programming_in_development_of_specific_software?_sg=Uw6khmbnphDDDPmzTHA9huN0tenGHdziY_T_kYrGZmL1sYpoiFSVjl84n5TOl-FNCoJKutx7i0NYW3g
Behavior-Driven Development applied in Agile Teams of a Financial Institution;https://www.researchgate.net/publication/365141306_Behavior-Driven_Development_applied_in_Agile_Teams_of_a_Financial_Institution?_sg=vCUn3cUhxBpdHOfzjEFKyYXJtnzzibFF_tqxlnRQ87KX0pWD0vuhDX9TNh0wCaWksKDGN7cdNwv-rbA
Service Agile Development Using XP;https://www.researchgate.net/publication/261128350_Service_Agile_Development_Using_XP?_sg=4em-0BDB0eMEWx3y5yDSG_CVlvannl0gS5adeLeBygGQJyMz1FQcGeT6pcCS0-EgEdnDqU7BSAM2Mz8
The Impact of Agile Methodologies and Cost Management Success Factors An Empirical Study;https://www.researchgate.net/publication/329468182_The_Impact_of_Agile_Methodologies_and_Cost_Management_Success_Factors_An_Empirical_Study?_sg=vYUd7HEuSem38noA67Um9z_kC1oiuZ16FC4_HBpHgZtmnvkqk9pLVc4EggoZa4_YdpMLtOA34MMW0Ro
Implementing Agile Scrum Methodology in The Development of SICITRA Mobile Application;https://www.researchgate.net/publication/368368448_Implementing_Agile_Scrum_Methodology_in_The_Development_of_SICITRA_Mobile_Application?_sg=FNRefAu8bIUuu1UVoGOlkWUqt5d4AgM4YYGxwQy-AnhKx_54KN4NcyQIbQzVCGZzIBa-P32CucPcSX0
AGILE: OPPORTUNITIES AND PERSPECTIVES OF APPLICATION IN PUBLIC ADMINISTRATION (LITERATURE REVIEW);https://www.researchgate.net/publication/361453964_AGILE_OPPORTUNITIES_AND_PERSPECTIVES_OF_APPLICATION_IN_PUBLIC_ADMINISTRATION_LITERATURE_REVIEW?_sg=pEBakWDzKspjphnitv8qpBxT_bdizCwQjwWYiF-Cy5ETei-LPaF9AMXFFTCdTUlEAhhum3yoDxoXrYU
Rancang Bangun Sistem Informasi Company Profile Berbasis Android Menggunakan Metode Extreme Programming (XP);https://www.researchgate.net/publication/368308077_RANCANG_BANGUN_SISTEM_INFORMASI_COMPANY_PROFILE_BERBASIS_ANDROID_MENGGUNAKAN_METODE_EXTREME_PROGRAMMING_XP?_sg=RDDbpQqgqLVWLVSEXmsztvtOPR2BehLIdM7HF8-LOZlyd2GERViOGT7YhSyFkdZrBGbNIDg6fdN0SCg
Agile MERODE: a model-driven software engineering method for user-centric and value-based development;https://www.researchgate.net/publication/361356694_Agile_MERODE_a_model-driven_software_engineering_method_for_user-centric_and_value-based_development?_sg=YXsTTHwClsKfzZ2NBCUIgJHxn5bT9P2pHHpil4K9eGhAW-xejNP-uGNyHImLjzhS567bl3D_13xSgys
Analyzing Scrum Agile Software Development with Development Process, Social Factor, and Project Management Lenses.;https://www.researchgate.net/publication/220892237_Analyzing_Scrum_Agile_Software_Development_with_Development_Process_Social_Factor_and_Project_Management_Lenses?_sg=7gStU81xa_y3gtrVHAxlwrOAnvz-J3oDDO0iXAnB6Qe4MGSlzrWXSFL0ngOrBCal-peh_Zv0cj0y2Mw
Extreme Programming: Rapid Development for Web-Based Applications;https://www.researchgate.net/publication/3419400_Extreme_Programming_Rapid_Development_for_Web-Based_Applications?_sg=yq9cq8VV_COe8-9KJ8ksVz0RY9qzAR5pqB0ovO4E8LMsaTr3mWF7XQGJU36_2BnPMZn2qzbFt8zAgqE
Scrum: An Agile Software Development Process and Metrics;https://www.researchgate.net/publication/339169149_Scrum_An_Agile_Software_Development_Process_and_Metrics?_sg=saN_fn_YmqIp5gpLBequt9PQIBKS85uIrcsaIfzOhU5kGp1JquwRzP3ocCovgy_NcZlxTieeoGYNbik
Collaborative experience between scientific software projects using Agile Scrum development;https://www.researchgate.net/publication/362306280_Collaborative_experience_between_scientific_software_projects_using_Agile_Scrum_development?_sg=9d6CbJ2SReK7pRP-G1mtj5yea46MrTObDY_1_vDrUiNLOL-YS1NcUdULpf0OoU9Fsd3AZqwEqEUWfVA
Scrumban–the Kanban as an addition to Scrum software development method in a Network Organization;https://www.researchgate.net/publication/332574761_Scrumban-the_Kanban_as_an_addition_to_Scrum_software_development_method_in_a_Network_Organization?_sg=UDIUhnpEB8YjlF--V9hFgXep9MdK6lf3jSnnFRTE0OPwPsCVO-ZuZLuS9K4t3mdmsKqDzut4fxe8KNs
Behavior-Driven Development: A case study on its impacts on agile development teams;https://www.researchgate.net/publication/346083645_Behavior-Driven_Development_A_case_study_on_its_impacts_on_agile_development_teams?_sg=ME4W09bdzoxmmWT1joNIN8PPVxqoctVvrOSjGf56a1K-DaAX0BSVGfSJs6OpbIaiBUc1T6cUHoylTcs
From a Scrum Reference Ontology to the Integration of Applications for Data-Driven Software Development;https://www.researchgate.net/publication/350158531_From_a_Scrum_Reference_Ontology_to_the_Integration_of_Applications_for_Data-Driven_Software_Development?_sg=ZIYR-HMhJjuSAjHc0JpJzrm8HTgpfb8ex5ez9ctsuAAGnWC87otOaeX-cLc4tBOPbt4eDY44vEesQeM
How Do Agile/XP Development Methods Affect Companies?;https://www.researchgate.net/publication/221592356_How_Do_AgileXP_Development_Methods_Affect_Companies?_sg=P7BOFGr9QZtr_qAR0GIpAXUCyfCwVUwP6cfR7QXxoxSeopvALqFmmXZ3WGJq-k4Tt3umgIlBDtKTv2A
A Systematic Literature Review on Secure Software Development using Feature Driven Development (FDD) Agile Model;https://www.researchgate.net/publication/264189773_A_Systematic_Literature_Review_on_Secure_Software_Development_using_Feature_Driven_Development_FDD_Agile_Model?_sg=wfY62WUdcgb_ndnRqN-amU1pfhx9vFXCMjQbdNb0hbKbvZUXEq8f0TDZ79QXi-hirOEivhtGTPX8P6w
Agility in Projects;https://www.researchgate.net/publication/364542794_Agility_in_Projects?_sg=IqKaRySx8_41HqGTxmrjIeORsO74MxUeoVQ_Jw0SYtSyPYan__7VrK-cZs5awDAGuTrYFM7yLW-haoc
METODOLOGIAS ÁGEIS: um comparativo entre extreme programming (XP) e scrum;https://www.researchgate.net/publication/359235078_METODOLOGIAS_AGEIS_um_comparativo_entre_extreme_programming_XP_e_scrum?_sg=NEjS4nMkH2tcPXf0i-WdHeUHMwhTaBuL78zXts1Z1hsvbplqD1ZAwe02NR3kh5bGfiqgnlBnkramLyw
Towards medium-scale and large-scale game development using agile-based scrum;https://www.researchgate.net/publication/348564158_Towards_medium-scale_and_large-scale_game_development_using_agile-based_scrum?_sg=73vv2PvieJaUEas9IoM7MsYU0sZBpDKlp4HILjXx1sEDQorg1zSVs7Vm3WoM-kz0CWVVvj1WLu6KvyI
